,Reviews,Sentiment,Sentiment_Type
0,"`` worst business class experience . ground crew singapore friendly ended switching lounge ba qf . aircraft late 1 hour . cabin crew business class unfriendliest crew experienced . one smiled welcomed board . body checking though flight wanted anything . found seat sat waited someone offer refreshment . nobody came . stewardess approached passenger sitting infront 'd offer refreshment said , looked made eye contact . looked walked straight past . observing passenger crew assist lady struggling put carry luggage overhead . entire flight staff felt like hated flight want work . disembarking walked past 4 crew one saying goodbye thank passenger . food average , cocktail ok. wine selection average . `` ; ;",-1,Negative
1,"`` quite possibly worst business class ever flown . barely rate premium economy , ba n't suggesting offering premium seating regional route europe . route , ba crammed seat close together experience like flying discount airline . buyer beware , point upgrading business class , ensuring middle seat empty bag board first . seat extremely uncomfortable , ca n't really reclined . flight entertainment ; even app ( many discount airline use regional flight ) . upon time ba used good airline , maybe still long-haul , 's truly awful short-haul ( five-hour flight actually short haul ? ) . might well save money book cheaper airline . staff courteous professional ; issue quality product price . `` ; ;",-1,Negative
2,"`` never flying ba . first last . flying singapore , transit sydney auckland , destination . firstly , hour delay flight singapore . fine , received email advance could head slightly later . confirmed staff singapore 'll make fine connecting flight since hour delay v hour transit . arrived sydney , flight fine ba staff decent . knew close boarding time rushed check get international transit flight . ushered downstairs catch shuttle bus . queuing long time , scanned boarding pas said taken flight ( notified prior ) find transfer desk request re-book connecting flight . rushed quickly could waste time . lady qantas rep told needed speak menzies rep matter . gave instruction find menzies rep. rushed boarding gate asiana flight speak menzies rep busy boarding passenger . , waited side passenger board , told head another transfer desk re-book connecting flight . disgruntled passenger arrived . next available flight night . meant arrived 8+am sydney wait close 12 hour get next flight . aussie visa ( need one per booked flight ) , granted day stay given meal voucher sent hunt good place rest/sleep/nap . many cafe restaurant rejected meal voucher way finally got food . ultimately , re-booked flight delayed another 30mins . stress , anxiety , fatigue hassle caused ba 's poor re-booking system . 've filed formal complaint request compensation 're waiting hear back . `` ; ;",-1,Negative
3,"`` trip mexico city , opportunity experience ba long-haul business class first time extremely underwhelming . first , boarding flight mexico city done bus . every inch bus filled passenger could n't even breath . club world experience personalised n't make feel special . flight crew giving welcome drink giving free food food bank n't offered non-alcoholic choice due sitting last row business class cabin . rude serving attitude happened flight attendant serving ice-cream mid-flight way . literally threw ice cream head middle seat covered side make flight attendant hard reach . striking issue cabin state seat . old style yin-yang seat looked pretty old , storage space , functionality working struggle . entertainment screen working well quite unstable . flight attendant playing security way , neither seat area playing safety video flight attendant re-demonstrate security instruction manually . way , crew opened screen security demonstration kept closing . asked way keep screen open , flight attendant joked saying `` tell pilot fly angle screen pulled stay open '' . found attitude unacceptable . screen old bad quality . quite underwhelmed food provided board . looked great menu card quite bad served.i would recommend ba business class product based experience . `` ; ;",1,Positive
4,"`` upgraded check club europe seat 1d excellent experience ba . check-in airport quick smooth , friendly staff . fast track headed gallery lounge lhr t3 exceeded expectation . food really good superb view runway . flight great . people remarked legroom n't good even club europe found fine 2 hour flight . ‘ afternoon tea ' delicious . cabin crew excellent . airport 10 minute landing . ba superb job flight . `` ; ;",1,Positive
5,"`` bought return trip ba , webjet australia last year . would fly sydney porto middle june problem . return earlier australia . requested change date march january . point ba partner changed detail return flight many time . problem . problem although flexible date refused fly back . buy ticket another company travel australia . later asked change return date january next year . turned . keep mind negative experience ba booking future trip . `` ; ;",-1,Negative
6,"`` poor start finish . six month purchasing ticket added extra bag exorbitant cost £130 , transaction failed make system . rang ba customer service cut without reply . lhr manager summoned verify printed receipt payment . assured would problem return trip . wrong . experience li ! board , hour delay late discovery technical fault . old plane , uncomfortable seat minimal legroom . soggy cookie small bottle water offered free . return trip , even uncomfortable seat , made worse extra recline passenger front enjoyed due knackered seat . upon time ba stood something . longer . next time tap , much newer plane . `` ; ;",-1,Negative
7,"`` communication customer service non existent , make pay seat return flight madrid london , n't ticket premium economy . time check able ba-mad mad-lhr madrid issued boarding pas changed seat 5f 19f worst seat ever , explained rudeness madrid - plane changed . section business premium , send back , , apology , answer complaint , low cost airline treat better , refund seat received zero apology . `` ; ;",-1,Negative
8,`` supposed flight cancelled 12 hour takeoff . nearly 4 month ba finally responded compensation claim confirming due statutory compensation . another 2 month later still received despite chasing . according ba bank must lost payment apparently problem . experience great airline customer service better worst low cost carrier . `` ; ;,-1,Negative
9,`` fear ba flight operated finnair . business class seat offer leg room ba offering service could better . food ( ba ) good . excellent flight arriving much ahead schedule delay disembarking one available lhr pilot bridge . `` ; ;,1,Positive
